"id","city_name","lemmatized_city"
1,"Москва и область ","москва и область"
2,"Санкт-Петербург   ","санкт-петербург"
3,"Центр   ","центр"
4,"Белгород   ","белгород"
5,"Иваново   ","иваново"
6,"Калуга   ","калуга"
7,"Кострома   ","кострома"
8,"Курск   ","курск"
9,"Липецк   ","липецк"
10,"Орёл   ","орёл"
11,"Рязань   ","рязань"
12,"Смоленск   ","смоленск"
13,"Тамбов   ","тамбов"
14,"Тверь   ","тверь"
15,"Тула   ","тула"
16,"Ярославль   ","ярославль"
17,"Северо-Запад   ","северо-запад"
18,"Петрозаводск   ","петрозаводск"
19,"Сыктывкар   ","сыктывкар"
20,"Архангельск   ","архангельск"
21,"Вологда   ","вологда"
22,"Калининград   ","калининград"
23,"Мурманск   ","мурманск"
24,"Великий Новгород  ","великий новгород"
25,"Псков   ","псков"
26,"Юг   ","юг"
28,"Махачкала   ","махачкала"
30,"Нальчик   ","нальчик"
33,"Владикавказ   ","владикавказ"
35,"Краснодар   ","краснодар"
36,"Ставрополь   ","ставрополь"
37,"Астрахань   ","астрахань"
38,"Волгоград   ","волгоград"
39,"Ростов-на-Дону   ","ростов-на-дону"
40,"Поволжье   ","поволжье"
41,"Йошкар-Ола   ","йошкар-ола"
42,"Саранск   ","саранск"
43,"Казань   ","казань"
44,"Ижевск   ","ижевск"
45,"Чебоксары   ","чебоксары"
46,"Киров   ","киров"
47,"Нижний Новгород  ","нижний новгород"
48,"Оренбург   ","оренбург"
49,"Пенза   ","пенза"
50,"Пермь   ","пермь"
51,"Самара   ","самара"
52,"Урал   ","урал"
53,"Курган   ","курган"
54,"Екатеринбург   ","екатеринбург"
55,"Тюмень   ","тюмень"
56,"Челябинск   ","челябинск"
57,"Ханты-Мансийск   ","ханты-мансийск"
58,"Салехард   ","салехард"
59,"Сибирь   ","сибирь"
62,"Красноярск   ","красноярск"
63,"Иркутск   ","иркутск"
64,"Кемерово   ","кемерово"
65,"Новосибирск   ","новосибирск"
66,"Омск   ","омск"
67,"Томск   ","томск"
68,"Чита   ","чита"
73,"Дальний Восток  ","дальний восток"
74,"Якутск   ","якутск"
75,"Владивосток   ","владивосток"
76,"Хабаровск   ","хабаровск"
77,"Благовещенск   ","благовещенск"
78,"Петропавловск-Камчатский   ","петропавловск-камчатский"
79,"Магадан   ","магадан"
80,"Южно-Сахалинск   ","южно-сахалинск"
84,"США   ","сша"
93,"Аргентина   ","аргентина"
94,"Бразилия   ","бразилия"
95,"Канада   ","канада"
96,"Германия   ","германия"
102,"Великобритания   ","великобритания"
111,"Европа   ","европа"
113,"Австрия   ","австрия"
114,"Бельгия   ","бельгия"
115,"Бугрия   ","болгария"
116,"Венгрия   ","венгрия"
117,"Литва   ","литва"
118,"Нидерланды   ","нидерланды"
119,"Норвегия   ","норвегия"
120,"Польша   ","польша"
121,"Словакия   ","словакия"
122,"Словения   ","словения"
123,"Финляндия   ","финляндия"
124,"Франция   ","франция"
125,"Чехия   ","чехия"
126,"Швейцария   ","швейцария"
127,"Швеция   ","швеция"
134,"Китай   ","китай"
135,"Южная Корея  ","южная корея"
137,"Япония   ","япония"
138,"Австралия и Океания ","австралия и океания"
139,"Новая Зеландия  ","новая зеландия"
141,"Днепропетровск   ","днепропетровск"
142,"Донецк   ","донецк"
143,"Киев   ","киев"
144,"Львов   ","львов"
145,"Одесса   ","одесса"
146,"Симферополь   ","симферополь"
147,"Харьков   ","харьков"
148,"Николаев   ","николаев"
149,"Беларусь   ","беларусь"
159,"Казахстан   ","казахстан"
162,"Алматы   ","алматы"
